Map_Name,Map_Text,Total_Expense
Restaurante,LA CASONA DE LALY SANT\SANTA A,5300
Agua,App BCR Móvil,12000
Supermercado,DECO QUEQUES Y MAS,19650.93
Restaurante,SUBWAY CIUDAD QUESADA,10597
Restaurante,SUBWAY CIUDAD QUESADA,24016
Gasolina,DELTA CIUDAD QUESADA,2000
Transferencia,SINPE,3966.75
Entretenimiento,Internet,13500
Gasolina,AUTOSERVICIO C.QUESADA\ALAJUEL,5580
Restaurante,MCDONALD S SAN CARLOS,5150
Supermercado,SUPER EL PARQUE\ ALAJUEL,13456
Supermercado,ZU MARKET\ ALAJUEL,6500
Supermercado,SU CASA SUPERMERCADO\ ALAJUEL,13500
Supermercado,SU CASA SUPERMERCADO\ ALAJUEL,2700
Entretenimiento,Spotify ,5000
Restaurante,SPOON MULTIPLAZA DEL ESTE,3850
Entretenimiento,HBOMax,10400
Transferencia,SINPE,9350
Gasolina,ESTACION DE SERVICIO LOYVA,3150
Supermercado,AUTO MERCADO PL.DEL SOL,3350
Transferencia,SINPE,9625
Transferencia,SINPE,5300
Transferencia,SINPE,4450
Supermercado,AUTO MERCADO PL.DEL SOL,19650.93
Supermercado,LOS PALETEROS,10597
Luz,App BCR Móvil,24016
Regalos,AUTO PARKING,2000
Restaurante,TERIYAKI MULTIPLAZA ESCAZU,3966.75
Restaurante,APPLEBEES LINDORA,7830
Restaurante,SUBWAY PLAZA DEL SOL,5580
Supermercado,AUTO MERCADO PL.DEL SOL,5150
Gasolina,SERVICENTRO LA GALERA,13456
Supermercado,SUPERMERCADO CANASTA BASICA,6700
Transferencia,SINPE,13500
Restaurante,MCDONALD S SAN CARLOS,2700
Transferencia,SINPE,5400
Supermercado,AUTO MERCADO PL.DEL SOL,3850
Restaurante,RESTAURANTE TAIKO \SAN CAR,2500
Restaurante,N Y C PIZZA BCO\ ALAJUEL,9350
Restaurante,RESTAURANTE PORKY'S BU\SAN JOS,3150
Regalos,DRY CLEAN USA CURRIDABAT,3350
Supermercado,AUTO MERCADO PL.DEL SOL,9625
Transferencia,SINPE,5300
Transferencia,SINPE,8200
Entretenimiento,Spotify ,5000
Salud,NUTRICION INTEGRAL,9625
Restaurante,TILAPIAS QUECO S,24016
Gastos en el hogar,RESTAURANTE LAS HORTENSIAS,2000
Supermercado,AUTO MERCADO PL.DEL SOL,3966.75
Restaurante,NINA CAFE,7830
Supermercado,MINI SUPER FRUTICAS N 1,5580
Restaurante,NINA CAFE,5150
Gimnasio,GIMNASIO CIPRESES,11350
Entretenimiento,HBOMax,10400
Restaurante,MEGA SUPER SANTA ANA,13500
Restaurante,SUBWAY U.LATINA,2700
Gasolina,SERVICENTRO EL HIGUERO\SAN JOS,3966.75
Gimnasio,GIMNASIO CIPRESES,11350
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,5580
Regalos,YAMUNI SUCURSAL DEL ESTE,5150
Entretenimiento,Internet,13500
Salud,FISCHEL PLAZA DEL SOL S02,8700
Supermercado,AUTO MERCADO PL.DEL SOL,13500
Restaurante,LAS CATRINAS RESTAURANTE,2700
Supermercado,AUTO MERCADO PL.DEL SOL,3966.75
Restaurante,NINA CAFE,7830
Supermercado,AUTO MERCADO PL.DEL SOL,5580
Restaurante,HELADERIA LA ESTACION AVENIDA,5150
Restaurante,SUBWAY U.LATINA,1456
Entretenimiento,HBOMax,10400
Gimnasio,GIMNASIO CIPRESES,11350
Entretenimiento,Spotify ,5000
Gasolina,ESTAC. DE SERVICIO LOI ALAJUELA,8100
Supermercado,AUTO MERCAD,8900
