Map_Name,Map_Text,Total_Expense
Restaurante,CHILIS MULTIPLAZA DEL ESTE,5400
Restaurante,ROSTIPOLLOS REAL CARIARI,3850
Transferencia,DD SINPE DE ,24500
Restaurante,NINA CAFE,9350
Supermercado,MULTIMERCADO AM PM ESCAZU,3150
Regalos,ICON MULTIP ESCAZU,3350
Regalos,AUTO PARKING,9625
Restaurante,LA CASONA DE LALY SANT\SANTA A,5300
Regalos,BEBE MUNDO MULTI ESCA\SAN JOS,4450
Supermercado,DECO QUEQUES Y MAS,19650.93
Restaurante,SUBWAY CIUDAD QUESADA,10597
Restaurante,SUBWAY CIUDAD QUESADA,24016
Gasolina,DELTA CIUDAD QUESADA,2000
Transferencia,TEF A : ,3966.75
Restaurante,SUPERMERCADO COMPRE BIEN SAN C,7830
Gasolina,AUTOSERVICIO C.QUESADA\ALAJUEL,5580
Restaurante,MCDONALD S SAN CARLOS,5150
Supermercado,SUPER EL PARQUE\ ALAJUEL,13456
Supermercado,ZU MARKET\ ALAJUEL,600
Supermercado,SU CASA SUPERMERCADO\ ALAJUEL,13500
Supermercado,SU CASA SUPERMERCADO\ ALAJUEL,2700
Restaurante,SUBWAY CIUDAD QUESADA,5400
Restaurante,SPOON MULTIPLAZA DEL ESTE,3850
Celular,Pago ICE TelŽfono ,4000
Transferencia,DD SINPE DE ,9350
Gasolina,ESTACION DE SERVICIO LOYVA,3150
Supermercado,AUTO MERCADO PL.DEL SOL,3350
Transferencia,CD SINPE A ,9625
Transferencia,COMISION CD SINPE A ,5300
Transferencia,TEF A : ,4450
Supermercado,AUTO MERCADO PL.DEL SOL,19650.93
Supermercado,LOS PALETEROS,10597
Regalos,IES KAVERNO BARBER SHOP,24016
Regalos,AUTO PARKING,2000
Restaurante,TERIYAKI MULTIPLAZA ESCAZU,3966.75
Restaurante,APPLEBEES LINDORA,7830
Restaurante,SUBWAY PLAZA DEL SOL,5580
Supermercado,AUTO MERCADO PL.DEL SOL,5150
Gasolina,SERVICENTRO LA GALERA,13456
Supermercado,SUPERMERCADO CANASTA BASICA,600
Transferencia,TEF A : ,13500
Restaurante,MCDONALD S SAN CARLOS,2700
Transferencia,DD SINPE DE Rojas_Ugalde_Danie,5400
Supermercado,AUTO MERCADO PL.DEL SOL,3850
Restaurante,RESTAURANTE TAIKO \SAN CAR,2500
Restaurante,N Y C PIZZA BCO\ ALAJUEL,9350
Restaurante,RESTAURANTE PORKY'S BU\SAN JOS,3150
Regalos,DRY CLEAN USA CURRIDABAT,3350
Supermercado,AUTO MERCADO PL.DEL SOL,9625
Transferencia,TEF A : ,5300
Transferencia,DD SINPE DE Rojas_Ugalde_Danie,8200
Restaurante,SUBWAY U.LATINA,19650.93
Gasolina,SERVICENTRO LA GALERA,10597
Restaurante,TILAPIAS QUECO S,24016
Restaurante,RESTAURANTE LAS HORTENSIAS,2000
Supermercado,AUTO MERCADO PL.DEL SOL,3966.75
Restaurante,NINA CAFE,7830
Supermercado,MINI SUPER FRUTICAS N 1,5580
Restaurante,NINA CAFE,5150
Gimnasio,GIMNASIO CIPRESES,1456
Restaurante,NINA CAFE,600
Restaurante,MEGA SUPER SANTA ANA,13500
Restaurante,SUBWAY U.LATINA,2700
Gasolina,SERVICENTRO EL HIGUERO\SAN JOS,3966.75
Gimnasio,GIMNASIO CIPRESES,5150
Restaurante,LA FABRICA PIZZERIA CURRIDABAT,5580
Regalos,YAMUNI SUCURSAL DEL ESTE,5150
Restaurante,LA CASONA DE LALY SANT\SANTA A,1456
Salud,FISCHEL PLAZA DEL SOL S02,600
Supermercado,AUTO MERCADO PL.DEL SOL,13500
Restaurante,LAS CATRINAS RESTAURANTE,2700
Supermercado,AUTO MERCADO PL.DEL SOL,3966.75
Restaurante,NINA CAFE,7830
Supermercado,AUTO MERCADO PL.DEL SOL,5580
Restaurante,HELADERIA LA ESTACION AVENIDA,5150
Restaurante,SUBWAY U.LATINA,1456
Restaurante,CACIQUITA RESTAUR Y LO HEREDIA,600
Gimnasio,GIMNASIO CIPRESES,5150
Restaurante,RESTAURANTE TAIKO ALAJUELA,2700
Gasolina,ESTAC. DE SERVICIO LOI ALAJUELA,8100
Supermercado,AUTO MERCAD,8900
